sampleid	shannon_entropy	observed_features	faith_pd	orig_ID	location	sex	age	BCS	min_to_collect	Vehic	Vehic_cat	Vehic_1	Vehic_2	Month	Month_order	Rain
2177-002-M012-EMAX-SL-24-RV	8.820134431	1207	77.79085394	M012	Minneriya	M	Adult	4	7	40	avg	44	15	May	1_May	82.40000224
2177-003-M013-EMAX-SL-24-RV	8.550299827	1074	74.91313934	M013	Minneriya	M	Juvenile	4	65	40	avg	44	15	May	1_May	82.40000224
2177-004-M017-EMAX-SL-24-RV	8.182061324	912	60.5434202	M017	Minneriya	F	Adult	3	122	109	high	49	50	June	2_June	3.5
2177-005-M018-EMAX-SL-24-RV	8.488294046	952	72.26564209	M018	Minneriya	F	Juvenile	4	87	96	high	113	75	June	2_June	3.5
2177-006-M019-EMAX-SL-24-RV	8.603716681	1021	67.91320282	M019	Minneriya	F	Adult	4	21	96	high	113	75	June	2_June	3.5
2177-008-M014-EMAX-SL-24-RV	8.138780387	910	63.64749979	M014	Minneriya	F	Adult	4	61	40	avg	44	15	May	1_May	82.40000224
2177-009-M015-EMAX-SL-24-RV	8.27094676	960	68.4555597	M015	Minneriya	F	Adult	3	23	44	avg	40	44	May	1_May	82.40000224
2177-010-M016-EMAX-SL-24-RV	7.914793767	860	58.54292662	M016	Minneriya	F	Adult	3	150	50	avg	31	49	June	2_June	3.5
2177-011-M020-EMAX-SL-24-RV	7.951292248	888	61.35975568	M020	Minneriya	M	Adult	3	16	72	high	96	113	June	2_June	3.5
2177-012-M021-EMAX-SL-24-RV	7.409424468	699	58.11710713	M021	Minneriya	M	Juvenile	3	47	72	high	96	113	June	2_June	3.5
2177-014-M022-EMAX-SL-24-RV	7.467741574	711	64.98554676	M022	Minneriya	M	Juvenile	4	41	72	high	96	113	June	2_June	3.5
2177-015-M023-EMAX-SL-24-RV	9.417053911	1616	107.3120574	M023	Minneriya	F	Juvenile	4	66	60	avg	75	72	June	2_June	3.5
2177-016-M024-EMAX-SL-24-RV	8.051449902	830	69.91180125	M024	Minneriya	M	Juvenile	4	32	78	high	60	75	June	2_June	3.5
2177-017-M025-EMAX-SL-24-RV	8.153924082	995	79.1093866	M025	Minneriya	M	Adult	4	115	78	high	60	75	June	2_June	3.5
2177-018-M026-EMAX-SL-24-RV	7.992191661	891	79.26110604	M026	Minneriya	F	Adult	4	87	78	high	60	75	June	2_June	3.5
2177-019-M028-EMAX-SL-24-RV	6.871212896	683	54.24366763	M028	Minneriya	M	Adult	4	106	67	high	78	60	June	2_June	3.5
2177-021-M030-EMAX-SL-24-RV	7.642935197	741	51.11061164	M030	Minneriya	F	Adult	4	60	67	high	78	60	June	2_June	3.5
2177-023-M031-EMAX-SL-24-RV	8.170627996	907	60.44829017	M031	Minneriya	M	Adult	4	119	82	high	117	67	June	2_June	3.5
2177-024-M032-EMAX-SL-24-RV	8.189791553	820	61.85376341	M032	Minneriya	F	Juvenile	4	112	82	high	117	67	June	2_June	3.5
