sampleid	orig_ID	location	sex	age	BCS	min_to_collect	Vehic	Vehic_cat	Vehic_1	Vehic_2	Month	Monthprior	Weekprior	Monthpriorcat	Weekpriorcat	Twodayprior	Twodaypriorcat	Season	Season2	Rain	Month
2177-002-M012-EMAX-SL-24-RV	M012	Minneriya	M	Adult	4	7	40	avg	44	15	May	8.066666667	12.85714286	low	low	29.5	avg	Dry	Intermediate	82.40000224	1
2177-003-M013-EMAX-SL-24-RV	M013	Minneriya	M	Juvenile	4	65	40	avg	44	15	May	8.066666667	12.85714286	low	low	29.5	avg	Dry	Intermediate	82.40000224	1
2177-004-M017-EMAX-SL-24-RV	M017	Minneriya	F	Adult	3	122	109	high	49	50	June	15.5	43.85714286	avg	avg	49.5	avg	Dry	Dry	3.5	2
2177-005-M018-EMAX-SL-24-RV	M018	Minneriya	F	Juvenile	4	87	96	high	113	75	June	35.76666667	81.42857143	avg	high	94	high	Dry	Dry	3.5	2
2177-006-M019-EMAX-SL-24-RV	M019	Minneriya	F	Adult	4	21	96	high	113	75	June	35.76666667	81.42857143	avg	high	94	high	Dry	Dry	3.5	2
2177-008-M014-EMAX-SL-24-RV	M014	Minneriya	F	Adult	4	61	40	avg	44	15	May	8.066666667	12.85714286	low	low	29.5	avg	Dry	Intermediate	82.40000224	1
2177-009-M015-EMAX-SL-24-RV	M015	Minneriya	F	Adult	3	23	44	avg	40	44	May	9.166666667	17.42857143	low	avg	42	avg	Dry	Intermediate	82.40000224	1
2177-010-M016-EMAX-SL-24-RV	M016	Minneriya	F	Adult	3	150	50	avg	31	49	June	12.3	32.85714286	low	avg	40	avg	Dry	Dry	3.5	2
2177-011-M020-EMAX-SL-24-RV	M020	Minneriya	M	Adult	3	16	72	high	96	113	June	38.86666667	79.85714286	avg	high	104.5	high	Dry	Dry	3.5	2
2177-012-M021-EMAX-SL-24-RV	M021	Minneriya	M	Juvenile	3	47	72	high	96	113	June	38.86666667	79.85714286	avg	high	104.5	high	Dry	Dry	3.5	2
2177-014-M022-EMAX-SL-24-RV	M022	Minneriya	M	Juvenile	4	41	72	high	96	113	June	38.86666667	79.85714286	avg	high	104.5	high	Dry	Dry	3.5	2
2177-015-M023-EMAX-SL-24-RV	M023	Minneriya	F	Juvenile	4	66	60	avg	75	72	June	43.23333333	82.14285714	avg	high	73.5	high	Dry	Dry	3.5	2
2177-016-M024-EMAX-SL-24-RV	M024	Minneriya	M	Juvenile	4	32	78	high	60	75	June	45.2	79.71428571	avg	high	67.5	high	Dry	Dry	3.5	2
2177-017-M025-EMAX-SL-24-RV	M025	Minneriya	M	Adult	4	115	78	high	60	75	June	45.2	79.71428571	avg	high	67.5	high	Dry	Dry	3.5	2
2177-018-M026-EMAX-SL-24-RV	M026	Minneriya	F	Adult	4	87	78	high	60	75	June	45.2	79.71428571	avg	high	67.5	high	Dry	Dry	3.5	2
2177-019-M028-EMAX-SL-24-RV	M028	Minneriya	M	Adult	4	106	67	high	78	60	June	47.8	81.28571429	avg	high	69	high	Dry	Dry	3.5	2
2177-021-M030-EMAX-SL-24-RV	M030	Minneriya	F	Adult	4	60	67	high	78	60	June	47.8	81.28571429	avg	high	69	high	Dry	Dry	3.5	2
2177-023-M031-EMAX-SL-24-RV	M031	Minneriya	M	Adult	4	119	82	high	117	67	June	53.63333333	80.71428571	avg	high	92	high	Dry	Dry	3.5	2
2177-024-M032-EMAX-SL-24-RV	M032	Minneriya	F	Juvenile	4	112	82	high	117	67	June	53.63333333	80.71428571	avg	high	92	high	Dry	Dry	3.5	2
2177-025-M033-EMAX-SL-24-RV	M033	Minneriya	M	Juvenile	4	146	103	high	76	85	June	65.9	83	high	high	80.5	high	Dry	Dry	3.5	2
2177-026-M034-EMAX-SL-24-RV	M034	Minneriya	M	Juvenile	4	147	103	high	76	85	June	65.9	83	high	high	80.5	high	Dry	Dry	3.5	2
2177-027-M035-EMAX-SL-24-RV	M035	Minneriya	F	Adult	3	70	125	high	169	103	June	74.5	95.57142857	high	high	136	high	Dry	Dry	3.5	2
2177-028-M036-EMAX-SL-24-RV	M036	Minneriya	F	Adult	3	58	125	high	169	103	June	74.5	95.57142857	high	high	136	high	Dry	Dry	3.5	2
2177-029-M037-EMAX-SL-24-RV	M037	Minneriya	M	Juvenile	4	9	125	high	169	103	June	74.5	95.57142857	high	high	136	high	Dry	Dry	3.5	2
2177-030-M038-EMAX-SL-24-RV	M038	Minneriya	F	Juvenile	4	8	113	high	125	169	June	78.16666667	101.7142857	high	high	147	high	Dry	Dry	3.5	2
2177-033-M039-EMAX-SL-24-RV	M039	Minneriya	F	Juvenile	4	65	98	high	113	125	June	80.46666667	104.4285714	high	high	119	high	Dry	Dry	3.5	2
2177-034-M040-EMAX-SL-24-RV	M040	Minneriya	F	Adult	3	49	98	high	113	125	June	80.46666667	104.4285714	high	high	119	high	Dry	Dry	3.5	2
2177-035-M041-EMAX-SL-24-RV	M041	Minneriya	M	Juvenile	4	42	98	high	113	125	June	80.46666667	104.4285714	high	high	119	high	Dry	Dry	3.5	2
2177-036-M042-EMAX-SL-24-RV	M042	Minneriya	M	Adult	4	37	98	high	113	125	June	80.46666667	104.4285714	high	high	119	high	Dry	Dry	3.5	2
2177-037-M043-EMAX-SL-24-RV	M043	Minneriya	F	Adult	3	12	115	high	98	113	June	82.4	109.8571429	high	high	105.5	high	Dry	Dry	3.5	2
2177-038-M044-EMAX-SL-24-RV	M044	Minneriya	F	Juvenile	3	7	115	high	98	113	June	82.4	109.8571429	high	high	105.5	high	Dry	Dry	3.5	2
2177-040-M045-EMAX-SL-24-RV	M045	Minneriya	F	Juvenile	4	24	115	high	98	113	June	82.4	109.8571429	high	high	105.5	high	Dry	Dry	3.5	2
2177-041-M046-EMAX-SL-24-RV	M046	Minneriya	F	Adult	4	62	37	avg	46	86	July	100.3333333	134.4285714	high	high	66	high	Dry	Dry	1.700000048	3
2177-042-M047-EMAX-SL-24-RV	M047	Minneriya	F	Adult	4	60	37	avg	46	86	July	100.3333333	134.4285714	high	high	66	high	Dry	Dry	1.700000048	3
2177-043-M048-EMAX-SL-24-RV	M048	Minneriya	F	Adult	3	6	37	avg	46	86	July	100.3333333	134.4285714	high	high	66	high	Dry	Dry	1.700000048	3
2177-044-M049-EMAX-SL-24-RV	M049	Minneriya	M	Adult	4	40	26	avg	37	46	July	99.83333333	119.1428571	high	high	41.5	avg	Dry	Dry	1.700000048	3
2177-045-M050-EMAX-SL-24-RV	M050	Minneriya	F	Adult	4	27	26	avg	37	46	July	99.83333333	119.1428571	high	high	41.5	avg	Dry	Dry	1.700000048	3
2177-046-M051-EMAX-SL-24-RV	M051	Minneriya	M	Juvenile	3	69	39	avg	26	37	July	98.13333333	103.7142857	high	high	31.5	avg	Dry	Dry	1.700000048	3
2177-047-M052-EMAX-SL-24-RV	M052	Minneriya	F	Juvenile	3	16	34	avg	48	39	July	96.3	64.14285714	high	high	43.5	avg	Dry	Dry	1.700000048	3
2177-049-M053-EMAX-SL-24-RV	M053	Minneriya	F	Juvenile	4	13	34	avg	48	39	July	96.3	64.14285714	high	high	43.5	avg	Dry	Dry	1.700000048	3
2177-050-K001-EMAX-SL-24-RV	K001	Kaudulla	F	Adult	3	21	33	avg	31	54	July	79.8	36.42857143	high	avg	42.5	avg	Dry	Dry	1.700000048	3
2177-051-K002-EMAX-SL-24-RV	K002	Kaudulla	F	Adult	2	17	33	avg	31	54	July	79.8	36.42857143	high	avg	42.5	avg	Dry	Dry	1.700000048	3
2177-052-K003-EMAX-SL-24-RV	K003	Kaudulla	M	Juvenile	4	7	76	high	33	31	July	78.9	38.57142857	high	avg	32	avg	Dry	Dry	1.700000048	3
2177-053-K004-EMAX-SL-24-RV	K004	Kaudulla	F	Adult	2	9	76	high	33	31	July	78.9	38.57142857	high	avg	32	avg	Dry	Dry	1.700000048	3
2177-054-K005-EMAX-SL-24-RV	K005	Kaudulla	F	Juvenile	3	9	76	high	33	31	July	78.9	38.57142857	high	avg	32	avg	Dry	Dry	1.700000048	3
2177-055-M054-EMAX-SL-24-RV	M054	Minneriya	F	Adult	3	24	71	high	52	76	July	77.8	48.42857143	high	avg	64	high	Dry	Dry	1.700000048	3
2177-056-M055-EMAX-SL-24-RV	M055	Minneriya	M	Juvenile	3	15	71	high	52	76	July	77.8	48.42857143	high	avg	64	high	Dry	Dry	1.700000048	3
2177-058-M056-EMAX-SL-24-RV	M056	Minneriya	M	Adult	4	67	29	avg	71	52	July	76.73333333	52.14285714	high	avg	61.5	avg	Dry	Dry	1.700000048	3
