# Constructed from biom file
#OTU ID	2177-002-M012-EMAX-SL-24-RV	2177-003-M013-EMAX-SL-24-RV	2177-004-M017-EMAX-SL-24-RV	2177-005-M018-EMAX-SL-24-RV	2177-006-M019-EMAX-SL-24-RV	2177-008-M014-EMAX-SL-24-RV	2177-009-M015-EMAX-SL-24-RV	2177-010-M016-EMAX-SL-24-RV	2177-011-M020-EMAX-SL-24-RV	2177-012-M021-EMAX-SL-24-RV	2177-014-M022-EMAX-SL-24-RV	2177-015-M023-EMAX-SL-24-RV	2177-016-M024-EMAX-SL-24-RV	2177-017-M025-EMAX-SL-24-RV	2177-018-M026-EMAX-SL-24-RV	2177-019-M028-EMAX-SL-24-RV	2177-021-M030-EMAX-SL-24-RV	2177-023-M031-EMAX-SL-24-RV	2177-024-M032-EMAX-SL-24-RV	2177-025-M033-EMAX-SL-24-RV	2177-026-M034-EMAX-SL-24-RV	2177-027-M035-EMAX-SL-24-RV	2177-028-M036-EMAX-SL-24-RV	2177-029-M037-EMAX-SL-24-RV	2177-030-M038-EMAX-SL-24-RV	2177-033-M039-EMAX-SL-24-RV	2177-034-M040-EMAX-SL-24-RV	2177-035-M041-EMAX-SL-24-RV	2177-036-M042-EMAX-SL-24-RV	2177-037-M043-EMAX-SL-24-RV	2177-038-M044-EMAX-SL-24-RV	2177-040-M045-EMAX-SL-24-RV	2177-041-M046-EMAX-SL-24-RV	2177-042-M047-EMAX-SL-24-RV	2177-043-M048-EMAX-SL-24-RV	2177-044-M049-EMAX-SL-24-RV	2177-045-M050-EMAX-SL-24-RV	2177-046-M051-EMAX-SL-24-RV	2177-047-M052-EMAX-SL-24-RV	2177-049-M053-EMAX-SL-24-RV	2177-050-K001-EMAX-SL-24-RV	2177-051-K002-EMAX-SL-24-RV	2177-052-K003-EMAX-SL-24-RV	2177-053-K004-EMAX-SL-24-RV	2177-054-K005-EMAX-SL-24-RV	2177-055-M054-EMAX-SL-24-RV	2177-056-M055-EMAX-SL-24-RV	2177-058-M056-EMAX-SL-24-RV	2177-059-K006-EMAX-SL-24-RV	2177-060-M057-EMAX-SL-24-RV	2177-061-M058-EMAX-SL-24-RV	2177-062-M059-EMAX-SL-24-RV	2177-065-K007-EMAX-SL-24-RV	2177-066-M060-EMAX-SL-24-RV	2177-067-M061-EMAX-SL-24-RV	2177-068-M062-EMAX-SL-24-RV	2177-069-M063-EMAX-SL-24-RV	2177-070-K008-EMAX-SL-24-RV	2177-071-K009-EMAX-SL-24-RV	2177-072-K010-EMAX-SL-24-RV	2177-074-M064-EMAX-SL-24-RV	2177-075-K011-EMAX-SL-24-RV	2177-076-M065-EMAX-SL-24-RV	2177-077-M066-EMAX-SL-24-RV	2177-078-M067-EMAX-SL-24-RV	2177-079-M068-EMAX-SL-24-RV	2177-080-M069-EMAX-SL-24-RV	2177-081-M070-EMAX-SL-24-RV	2177-083-K012-EMAX-SL-24-RV	2177-084-M071-EMAX-SL-24-RV	2177-085-K013-EMAX-SL-24-RV	2177-086-M072-EMAX-SL-24-RV	2177-087-M073-EMAX-SL-24-RV	2177-088-M074-EMAX-SL-24-RV	2177-089-M075-EMAX-SL-24-RV	2177-090-M076-EMAX-SL-24-RV	2177-092-M077-EMAX-SL-24-RV	2177-093-M078-EMAX-SL-24-RV	2177-094-M079-EMAX-SL-24-RV	2177-095-M080-EMAX-SL-24-RV	2177-097-M081-EMAX-SL-24-RV	2177-098-M082-EMAX-SL-24-RV	2177-099-M083-EMAX-SL-24-RV	2177-100-K019-EMAX-SL-24-RV	2177-102-M084-EMAX-SL-24-RV	2177-103-M085-EMAX-SL-24-RV	2177-104-M086-EMAX-SL-24-RV	2177-105-M087-EMAX-SL-24-RV	2177-106-M088-EMAX-SL-24-RV	2177-107-M089-EMAX-SL-24-RV	2177-109-M090-EMAX-SL-24-RV	2177-110-M091-EMAX-SL-24-RV	2177-111-M092-EMAX-SL-24-RV	2177-112-M093-EMAX-SL-24-RV	2177-113-M094-EMAX-SL-24-RV	2177-114-K020-EMAX-SL-24-RV	2177-115-K021-EMAX-SL-24-RV	2177-116-K023-EMAX-SL-24-RV	2177-118-K024-EMAX-SL-24-RV	2177-119-K025-EMAX-SL-24-RV	2177-120-K026-EMAX-SL-24-RV	2177-121-K027-EMAX-SL-24-RV	2177-122-K028-EMAX-SL-24-RV	2177-123-K029-EMAX-SL-24-RV	2177-125-K030-EMAX-SL-24-RV	2177-126-K032-EMAX-SL-24-RV	2177-127-K032-EMAX-SL-24-RV	2177-129-M095-EMAX-SL-24-RV	2177-130-M096-EMAX-SL-24-RV	2177-131-M097-EMAX-SL-24-RV	2177-132-M098-EMAX-SL-24-RV	2177-133-M099-EMAX-SL-24-RV	2177-135-M100-EMAX-SL-24-RV	2177-136-M101-EMAX-SL-24-RV	2177-137-M102-EMAX-SL-24-RV	2177-138-M103-EMAX-SL-24-RV	2177-139-M022-2-EMAX-SL-24-RV	taxonomy
d__Bacteria;p__Firmicutes_D	6022.0	4270.0	3876.0	3329.0	3730.0	6238.0	5546.0	4862.0	3653.0	8898.0	1837.0	4295.0	5671.0	3260.0	2777.0	2085.0	2242.0	4078.0	5276.0	3759.0	7068.0	2689.0	2787.0	7838.0	3660.0	3215.0	2995.0	3525.0	1837.0	2327.0	4012.0	2355.0	4095.0	3332.0	3675.0	1468.0	2079.0	1890.0	2000.0	2368.0	3624.0	5683.0	4150.0	1495.0	5654.0	2114.0	2031.0	975.0	2936.0	3898.0	1667.0	4553.0	5777.0	3196.0	6257.0	4483.0	1987.0	3003.0	5775.0	3293.0	3173.0	6309.0	2080.0	3551.0	3023.0	3295.0	2503.0	2902.0	4868.0	2497.0	3596.0	2325.0	2987.0	3912.0	1540.0	2893.0	3950.0	2968.0	2863.0	1780.0	3280.0	2196.0	1884.0	2600.0	2037.0	2357.0	3835.0	1867.0	3060.0	3054.0	1815.0	1369.0	3865.0	3614.0	3123.0	2745.0	2937.0	2405.0	2369.0	3128.0	2000.0	2341.0	3415.0	5814.0	3346.0	2516.0	4010.0	2482.0	2582.0	2494.0	3421.0	2050.0	3432.0	3897.0	2780.0	2081.0	3596.0
d__Bacteria;p__Firmicutes_A	8103.0	10904.0	8423.0	10550.0	9992.0	10458.0	8433.0	8254.0	7249.0	7975.0	14012.0	12019.0	10862.0	8970.0	10029.0	7790.0	14943.0	7670.0	8679.0	9133.0	7667.0	11920.0	9514.0	7470.0	10549.0	6488.0	9258.0	10238.0	6784.0	14218.0	9097.0	10300.0	7891.0	10071.0	13225.0	11036.0	10129.0	11308.0	12489.0	10943.0	8389.0	8600.0	10612.0	12179.0	4608.0	12813.0	9701.0	8731.0	10602.0	7829.0	14655.0	8877.0	6984.0	8924.0	5809.0	5364.0	10146.0	9707.0	9451.0	11106.0	7938.0	7638.0	11510.0	10106.0	5502.0	10066.0	8039.0	10716.0	6542.0	9360.0	8981.0	9735.0	5690.0	8417.0	9228.0	8709.0	9379.0	10032.0	10842.0	11976.0	10973.0	9992.0	9034.0	9299.0	10098.0	10494.0	8216.0	8437.0	9574.0	8573.0	9746.0	12945.0	8929.0	9884.0	10287.0	8063.0	11838.0	11790.0	12206.0	10984.0	15205.0	9181.0	10721.0	9468.0	11787.0	9348.0	10734.0	5219.0	9751.0	11857.0	12137.0	9864.0	5121.0	9171.0	9229.0	7969.0	14397.0
d__Bacteria;p__Bacteroidota	6454.0	5776.0	7585.0	5195.0	5653.0	6169.0	6345.0	10022.0	7914.0	7091.0	6285.0	4384.0	6265.0	6184.0	7351.0	5376.0	7667.0	8271.0	7311.0	6797.0	6444.0	4672.0	6585.0	6685.0	6082.0	7136.0	8316.0	7478.0	5213.0	5547.0	7567.0	10449.0	12010.0	6654.0	5813.0	6814.0	8269.0	6502.0	9379.0	7575.0	7933.0	6975.0	8626.0	9874.0	12069.0	5968.0	7781.0	9263.0	5456.0	7904.0	8083.0	7411.0	8519.0	8900.0	10525.0	10429.0	9001.0	9786.0	6575.0	7216.0	11243.0	7747.0	7407.0	7268.0	11551.0	6279.0	9144.0	10684.0	11306.0	9472.0	7438.0	7546.0	9312.0	8482.0	10058.0	8791.0	8222.0	7627.0	7103.0	7760.0	6369.0	9874.0	11311.0	8713.0	8200.0	7057.0	9860.0	9913.0	8017.0	10165.0	7817.0	7159.0	8362.0	6984.0	8438.0	6790.0	6184.0	6377.0	7482.0	8764.0	4967.0	6296.0	6967.0	5982.0	7552.0	8919.0	7263.0	11187.0	7255.0	9236.0	7655.0	8315.0	10206.0	9021.0	11270.0	8777.0	4402.0
d__Bacteria;__	66.0	164.0	47.0	57.0	102.0	87.0	62.0	48.0	75.0	79.0	83.0	333.0	163.0	67.0	45.0	32.0	89.0	53.0	49.0	41.0	67.0	67.0	135.0	56.0	69.0	64.0	93.0	77.0	61.0	172.0	79.0	37.0	79.0	56.0	69.0	43.0	65.0	58.0	113.0	147.0	66.0	54.0	109.0	174.0	63.0	76.0	242.0	53.0	95.0	66.0	250.0	51.0	68.0	92.0	56.0	60.0	199.0	90.0	72.0	136.0	53.0	52.0	94.0	86.0	54.0	62.0	88.0	197.0	71.0	56.0	104.0	201.0	47.0	88.0	174.0	269.0	127.0	53.0	48.0	73.0	54.0	550.0	139.0	35.0	31.0	151.0	122.0	98.0	68.0	98.0	101.0	47.0	96.0	72.0	152.0	95.0	39.0	107.0	122.0	53.0	57.0	51.0	123.0	32.0	65.0	225.0	40.0	111.0	77.0	179.0	359.0	87.0	132.0	70.0	585.0	84.0	69.0
d__Bacteria;p__Actinobacteriota	37.0	40.0	28.0	72.0	32.0	43.0	37.0	22.0	46.0	33.0	31.0	1966.0	74.0	55.0	82.0	66.0	118.0	46.0	66.0	32.0	40.0	69.0	38.0	95.0	67.0	6.0	64.0	30.0	38.0	499.0	28.0	17.0	14.0	37.0	240.0	78.0	98.0	41.0	83.0	14.0	22.0	21.0	25.0	280.0	17.0	89.0	26.0	136.0	20.0	103.0	129.0	45.0	34.0	90.0	34.0	81.0	85.0	31.0	31.0	53.0	37.0	31.0	107.0	112.0	26.0	162.0	63.0	187.0	26.0	47.0	104.0	114.0	42.0	46.0	40.0	31.0	50.0	102.0	67.0	92.0	63.0	94.0	39.0	17.0	16.0	36.0	18.0	8.0	93.0	339.0	61.0	72.0	98.0	89.0	49.0	57.0	75.0	63.0	99.0	104.0	36.0	37.0	33.0	19.0	1233.0	545.0	58.0	43.0	41.0	222.0	31.0	59.0	27.0	58.0	51.0	113.0	67.0
d__Bacteria;p__Spirochaetota	5015.0	3723.0	4195.0	5248.0	5795.0	2238.0	5280.0	2811.0	6432.0	1422.0	2765.0	1171.0	2517.0	3914.0	3895.0	6071.0	1416.0	3328.0	3924.0	3483.0	3988.0	5521.0	7041.0	4020.0	5223.0	5326.0	3662.0	4176.0	11467.0	2658.0	4655.0	2380.0	1296.0	3460.0	2358.0	5533.0	5008.0	3488.0	2410.0	4338.0	5420.0	4736.0	2429.0	797.0	3309.0	3232.0	5217.0	6556.0	6261.0	6003.0	1900.0	4184.0	4755.0	2916.0	2957.0	3620.0	3709.0	2828.0	4018.0	3341.0	2565.0	3783.0	3174.0	3146.0	4975.0	3241.0	4502.0	1386.0	2579.0	3462.0	4601.0	3375.0	6261.0	4332.0	3972.0	3587.0	3656.0	3651.0	3760.0	2909.0	4512.0	3088.0	3609.0	4962.0	5304.0	4153.0	2530.0	5168.0	3234.0	2835.0	4374.0	3770.0	2874.0	2825.0	2904.0	7899.0	3713.0	5173.0	3038.0	2832.0	3141.0	4413.0	4336.0	4674.0	797.0	2342.0	3445.0	6372.0	2450.0	1389.0	1543.0	4182.0	4558.0	2158.0	1252.0	4135.0	3344.0
d__Bacteria;p__Cyanobacteria	27.0	29.0	25.0	37.0	25.0	0.0	47.0	10.0	5.0	33.0	39.0	39.0	32.0	24.0	23.0	124.0	10.0	87.0	6.0	106.0	43.0	55.0	14.0	4.0	2.0	28.0	14.0	8.0	13.0	30.0	53.0	2.0	10.0	18.0	11.0	23.0	26.0	5.0	1.0	56.0	63.0	34.0	78.0	22.0	45.0	62.0	70.0	27.0	29.0	51.0	34.0	45.0	6.0	93.0	46.0	35.0	14.0	24.0	33.0	109.0	36.0	26.0	46.0	77.0	71.0	12.0	30.0	22.0	43.0	50.0	35.0	22.0	20.0	71.0	33.0	163.0	15.0	15.0	18.0	1.0	26.0	4.0	35.0	41.0	12.0	7.0	43.0	6.0	142.0	56.0	44.0	7.0	45.0	23.0	17.0	3.0	4.0	3.0	18.0	6.0	57.0	16.0	10.0	6.0	152.0	70.0	19.0	22.0	27.0	24.0	0.0	21.0	121.0	91.0	33.0	18.0	22.0
d__Bacteria;p__Chlamydiota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes_C	49.0	54.0	52.0	51.0	60.0	116.0	52.0	23.0	55.0	68.0	23.0	137.0	123.0	55.0	61.0	36.0	143.0	47.0	35.0	32.0	79.0	56.0	58.0	55.0	52.0	51.0	118.0	96.0	88.0	172.0	28.0	56.0	28.0	77.0	25.0	92.0	125.0	71.0	245.0	57.0	28.0	41.0	32.0	246.0	11.0	57.0	75.0	196.0	52.0	15.0	36.0	34.0	15.0	69.0	16.0	23.0	132.0	38.0	84.0	78.0	75.0	35.0	42.0	97.0	39.0	45.0	88.0	212.0	35.0	117.0	62.0	86.0	20.0	64.0	58.0	93.0	63.0	129.0	58.0	217.0	45.0	114.0	49.0	33.0	169.0	105.0	79.0	493.0	53.0	75.0	138.0	80.0	94.0	96.0	85.0	100.0	74.0	78.0	62.0	10.0	126.0	102.0	60.0	27.0	98.0	488.0	59.0	99.0	62.0	281.0	327.0	65.0	39.0	42.0	180.0	74.0	89.0
d__Bacteria;p__Myxococcota_A_473307	0.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	40.0	48.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	7.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	11.0	0.0	17.0	12.0	9.0	0.0	29.0	17.0	0.0	13.0	0.0	0.0	3.0	0.0	44.0	1.0	11.0	2.0	30.0	0.0	3.0	1.0	0.0	24.0	12.0	2.0	0.0	7.0	13.0	0.0	5.0	18.0	0.0	0.0	0.0	5.0	13.0	4.0	0.0	0.0	0.0	0.0	5.0	6.0	43.0	0.0	0.0	8.0	4.0	0.0	2.0	0.0	67.0	0.0	12.0	6.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	24.0	12.0	0.0	0.0	0.0	31.0	0.0	12.0	33.0	0.0	6.0	51.0	3.0
