feature	kingdom	phylum	class	order	family	genus	species
bcf39928570824b2c64c111662037824	Bacteria	na	na	na	na	na	na
47d68823459cdd2e3b2f99ca3d7b9e94	Bacteria	na	na	na	na	na	na
482229ce07c58f3e0b8437e9b3e95a41	Bacteria	Firmicutes_A	Clostridia_258483	Christensenellales	Borkfalkiaceae	UBA1259	na
7c23f87e8bd70297cbe68bd2fce5af84	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	UBA1829	UBA1732	UBA1732_sp902762495
eeb345dacd33d9737e84b34f9b24213b	Bacteria	Firmicutes_A	Clostridia_258483	Lachnospirales	Lachnospiraceae	na	na
39ab5a6b9e43ca4c3f64b23ae7db68cf	Bacteria	Firmicutes_A	Clostridia_258483	Lachnospirales	Lachnospiraceae	na	na
df948ae6fdb42b742b0cdc1992e046e1	Bacteria	na	na	na	na	na	na
540f721252be9ca61faac33b81494065	Bacteria	na	na	na	na	na	na
6987e8ce1862866b6477155fb8fdd1da	Bacteria	na	na	na	na	na	na
af0670ecdb7522c48a7ba4d0c1b78478	Bacteria	na	na	na	na	na	na
21896469f74cf22a34ba509b5283c5d2	Bacteria	Firmicutes_D	Bacilli	RF39	UBA660	na	na
153af9a33509d594392fd31c55f3a463	Bacteria	na	na	na	na	na	na
cd37f572c73fffdcb96c2802387ea891	Bacteria	Patescibacteria	Doudnabacteria	UBA920	UBA920	UBA920	na
1e3eadf24d593e7426c07ffc9404c8b5	Bacteria	Patescibacteria	Doudnabacteria	UBA920	UBA920	UBA920	na
fc92c4d978b9bce63c3ed8ea00c354b3	Bacteria	Patescibacteria	Doudnabacteria	UBA920	O2-02-FULL-48-8	O2-12-FULL-42-9	O2-12-FULL-42-9_sp001777665
eae70669f21fce12d609c1a93a3f804d	Bacteria	Patescibacteria	Doudnabacteria	UBA920	2-01-FULL-46-14	2-01-FULL-46-14	2-01-FULL-46-14_sp001777515
65e5276936d312c85ffb323ce6c9b672	Bacteria	Patescibacteria	Doudnabacteria	UBA920	O2-02-FULL-48-8	O2-12-FULL-42-9	O2-12-FULL-42-9_sp001777665
70e2a33e2575fa5ed312f26709f904a8	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	ER46	ER46_sp003054705
d442c74d892d4683b5763a82c8946ed2	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	EW11	EW11_sp003054665
6c306aa315273c73dfebf473ca0c1bcf	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Alterococcus	Alterococcus_agarolyticus
0d62ca5dae543567e357295da138bf67	Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	Anaerohalosphaeraceae	na	na
a005cb7e050ecb5a6787b96ed0494cc7	Bacteria	na	na	na	na	na	na
90b3fcf87bce3bedb0f2ec838c850806	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales_407288	Roseiflexaceae	Kouleothrix	Kouleothrix_aurantiaca
853788830fc222009f41b0ced609c158	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales_407288	Roseiflexaceae	Kouleothrix	na
e33ea4f87408143da1be7e593c657483	Bacteria	na	na	na	na	na	na
b7072920460213000978ce8df00d0708	Bacteria	Planctomycetota	Phycisphaerae	UBA1845	Fen-1342	CAADGM01	na
165cdb8dbe9fec8838dc790c7cc91fea	Bacteria	Planctomycetota	Phycisphaerae	UBA1845	Fen-1342	JAAYXS01	na
86656f92c0bac5732282c16a07ab325d	Bacteria	Planctomycetota	Phycisphaerae	UBA1845	Fen-1342	JAAYXS01	na
7933f7e6b7e51c464eb3aaf1dd3e644f	Bacteria	Planctomycetota	Phycisphaerae	UBA1845	Fen-1342	JAAYXS01	na
e9013f20d0fbebf38235d2ec6fa470dc	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
272cbcb6a62280f48ec12c48dfdc39db	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
f1efa062068268d7de49fe327c60d510	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
846849f81f017c0c6f5740026d18c8d6	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
8cd1dcaa168fd0e36643c7d29866b004	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
dbeee70a0162716ea70a1e9c35f165b7	Bacteria	na	na	na	na	na	na
9440b6ca3951ba419cffdd1969285483	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	na	na
ed627848d35acd716394bd048254f09c	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
023f8a738bf42e03daa1d57127687438	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
d596dcfcdd237d5eaf8df2c3e121f9a8	Bacteria	Bacteroidota	Bacteroidia	na	na	na	na
0456446c1c86bf0cbe3410da1f21e5a0	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	na	na
c0de71196895eff5ad9e94e82caa6491	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
f3b0245241180eb6d775bf02004d1498	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
968090973fd62411c1d59ad0a53a9934	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
02864b85d2a5e5631a71127f4daf8ebd	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
d0aab71aaf1b9ba3e3176612cc1c2533	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
129c7d2bcdf2714aa42fde8de96a8878	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
556630f0e0dd806d0061dd20e308721f	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
a7868991bd03082d03a8ee337be1639b	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
f80b1973b191def88fe7d56b8e9637dc	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
0b89886057e7e716e736d17d8792426f	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017_sp004296775
