	2177-002-M012-EMAX-SL-24-RV	2177-003-M013-EMAX-SL-24-RV	2177-004-M017-EMAX-SL-24-RV	2177-005-M018-EMAX-SL-24-RV	2177-006-M019-EMAX-SL-24-RV	2177-008-M014-EMAX-SL-24-RV	2177-009-M015-EMAX-SL-24-RV	2177-010-M016-EMAX-SL-24-RV	2177-011-M020-EMAX-SL-24-RV	2177-012-M021-EMAX-SL-24-RV	2177-014-M022-EMAX-SL-24-RV	2177-015-M023-EMAX-SL-24-RV	2177-016-M024-EMAX-SL-24-RV	2177-017-M025-EMAX-SL-24-RV	2177-018-M026-EMAX-SL-24-RV	2177-019-M028-EMAX-SL-24-RV	2177-021-M030-EMAX-SL-24-RV	2177-023-M031-EMAX-SL-24-RV	2177-024-M032-EMAX-SL-24-RV	2177-025-M033-EMAX-SL-24-RV	2177-026-M034-EMAX-SL-24-RV	2177-027-M035-EMAX-SL-24-RV	2177-028-M036-EMAX-SL-24-RV	2177-029-M037-EMAX-SL-24-RV	2177-030-M038-EMAX-SL-24-RV	2177-033-M039-EMAX-SL-24-RV	2177-034-M040-EMAX-SL-24-RV	2177-035-M041-EMAX-SL-24-RV	2177-036-M042-EMAX-SL-24-RV	2177-037-M043-EMAX-SL-24-RV	2177-038-M044-EMAX-SL-24-RV	2177-040-M045-EMAX-SL-24-RV	2177-041-M046-EMAX-SL-24-RV	2177-042-M047-EMAX-SL-24-RV	2177-043-M048-EMAX-SL-24-RV	2177-044-M049-EMAX-SL-24-RV	2177-045-M050-EMAX-SL-24-RV	2177-046-M051-EMAX-SL-24-RV	2177-047-M052-EMAX-SL-24-RV	2177-049-M053-EMAX-SL-24-RV	2177-050-K001-EMAX-SL-24-RV	2177-051-K002-EMAX-SL-24-RV	2177-052-K003-EMAX-SL-24-RV	2177-053-K004-EMAX-SL-24-RV	2177-054-K005-EMAX-SL-24-RV	2177-055-M054-EMAX-SL-24-RV	2177-056-M055-EMAX-SL-24-RV	2177-058-M056-EMAX-SL-24-RV	2177-059-K006-EMAX-SL-24-RV	2177-060-M057-EMAX-SL-24-RV	2177-061-M058-EMAX-SL-24-RV	2177-062-M059-EMAX-SL-24-RV	2177-065-K007-EMAX-SL-24-RV	2177-066-M060-EMAX-SL-24-RV	2177-067-M061-EMAX-SL-24-RV	2177-068-M062-EMAX-SL-24-RV	2177-069-M063-EMAX-SL-24-RV	2177-070-K008-EMAX-SL-24-RV	2177-071-K009-EMAX-SL-24-RV	2177-072-K010-EMAX-SL-24-RV	2177-074-M064-EMAX-SL-24-RV	2177-075-K011-EMAX-SL-24-RV	2177-076-M065-EMAX-SL-24-RV	2177-077-M066-EMAX-SL-24-RV	2177-078-M067-EMAX-SL-24-RV	2177-079-M068-EMAX-SL-24-RV	2177-080-M069-EMAX-SL-24-RV	2177-081-M070-EMAX-SL-24-RV	2177-083-K012-EMAX-SL-24-RV	2177-084-M071-EMAX-SL-24-RV	2177-085-K013-EMAX-SL-24-RV	2177-086-M072-EMAX-SL-24-RV	2177-087-M073-EMAX-SL-24-RV	2177-088-M074-EMAX-SL-24-RV	2177-089-M075-EMAX-SL-24-RV	2177-090-M076-EMAX-SL-24-RV	2177-092-M077-EMAX-SL-24-RV	2177-093-M078-EMAX-SL-24-RV	2177-094-M079-EMAX-SL-24-RV	2177-095-M080-EMAX-SL-24-RV	2177-097-M081-EMAX-SL-24-RV	2177-098-M082-EMAX-SL-24-RV	2177-099-M083-EMAX-SL-24-RV	2177-100-K019-EMAX-SL-24-RV	2177-102-M084-EMAX-SL-24-RV	2177-103-M085-EMAX-SL-24-RV	2177-104-M086-EMAX-SL-24-RV	2177-105-M087-EMAX-SL-24-RV	2177-106-M088-EMAX-SL-24-RV	2177-107-M089-EMAX-SL-24-RV	2177-109-M090-EMAX-SL-24-RV	2177-110-M091-EMAX-SL-24-RV	2177-111-M092-EMAX-SL-24-RV	2177-112-M093-EMAX-SL-24-RV	2177-113-M094-EMAX-SL-24-RV	2177-114-K020-EMAX-SL-24-RV	2177-115-K021-EMAX-SL-24-RV	2177-116-K023-EMAX-SL-24-RV	2177-118-K024-EMAX-SL-24-RV	2177-119-K025-EMAX-SL-24-RV	2177-120-K026-EMAX-SL-24-RV	2177-121-K027-EMAX-SL-24-RV	2177-122-K028-EMAX-SL-24-RV	2177-123-K029-EMAX-SL-24-RV	2177-125-K030-EMAX-SL-24-RV	2177-126-K032-EMAX-SL-24-RV	2177-127-K032-EMAX-SL-24-RV	2177-129-M095-EMAX-SL-24-RV	2177-130-M096-EMAX-SL-24-RV	2177-131-M097-EMAX-SL-24-RV	2177-132-M098-EMAX-SL-24-RV	2177-133-M099-EMAX-SL-24-RV	2177-135-M100-EMAX-SL-24-RV	2177-136-M101-EMAX-SL-24-RV	2177-137-M102-EMAX-SL-24-RV	2177-138-M103-EMAX-SL-24-RV	2177-139-M022-2-EMAX-SL-24-RV
2177-002-M012-EMAX-SL-24-RV	0	0.4901348352432251	0.4388708174228668	0.5001178383827209	0.3627147674560547	0.4388999938964844	0.4438904821872711	0.4492717981338501	0.4293358027935028	0.5091797113418579	0.5249316692352295	0.6496081352233887	0.5451799035072327	0.5256718993186951	0.5081201195716858	0.4829718172550201	0.5982243418693542	0.4237874448299408	0.3949488401412964	0.456495076417923	0.5104548931121826	0.4779371023178101	0.442580908536911	0.5821400284767151	0.4856156408786774	0.4425604343414307	0.4442970156669617	0.4422458708286285	0.5523216724395752	0.5762407183647156	0.4046644270420074	0.5090351104736328	0.5195690393447876	0.4270389974117279	0.4051299095153809	0.4359810054302216	0.4057534039020538	0.4192522168159485	0.5646325945854187	0.5059905648231506	0.4337101876735687	0.4460069239139557	0.5551890730857849	0.665034294128418	0.4690863192081451	0.4399465918540955	0.469134509563446	0.4682564437389374	0.4346133768558502	0.5245035290718079	0.5737242698669434	0.4641765952110291	0.4961471259593964	0.401785284280777	0.4032511115074158	0.3910809457302094	0.4510566294193268	0.4885243475437164	0.4538233876228333	0.4294773042201996	0.401390016078949	0.4514363408088684	0.5616723299026489	0.4497728645801544	0.4212271869182587	0.4511211812496185	0.3937973380088806	0.6707098484039307	0.4697971642017365	0.4180847704410553	0.5485084652900696	0.4175863564014435	0.4630393385887146	0.4619272947311401	0.4902154207229614	0.4253098666667938	0.4494061768054962	0.4351439476013184	0.4509062170982361	0.541796863079071	0.4698953330516815	0.5592653751373291	0.391536682844162	0.4020177721977234	0.4392224550247192	0.4446371495723724	0.4168455600738525	0.4546216428279877	0.5661304593086243	0.5674989223480225	0.4273122251033783	0.4439029395580292	0.4289829432964325	0.5057763457298279	0.4571546614170074	0.4428204596042633	0.42192143201828	0.4373347461223602	0.3935636281967163	0.4595407247543335	0.4600081741809845	0.4422161877155304	0.4729582667350769	0.4591316878795624	0.5291165113449097	0.5303656458854675	0.5659684538841248	0.462744802236557	0.3954172134399414	0.554421067237854	0.5794825553894043	0.4971877038478851	0.5675879716873169	0.4217885732650757	0.4579306840896606	0.41539466381073	0.4825450778007507
2177-003-M013-EMAX-SL-24-RV	0.4901348352432251	0	0.4772550463676453	0.3218987286090851	0.457861989736557	0.5031654238700867	0.4876064360141754	0.4605967998504639	0.4654978513717651	0.5270114541053772	0.36068195104599	0.6483887434005737	0.3858202397823334	0.4890612959861755	0.5264168977737427	0.4982333183288574	0.5897032618522644	0.4534898996353149	0.4888917803764343	0.4723232388496399	0.5079102516174316	0.5153914093971252	0.4688144624233246	0.5294709205627441	0.3349926471710205	0.4631167054176331	0.3548883199691772	0.4495856463909149	0.4890467822551727	0.6111546754837036	0.5000730156898499	0.523231565952301	0.5488864779472351	0.4632274508476257	0.4927633106708527	0.4732141196727753	0.4533642828464508	0.4928661286830902	0.6409287452697754	0.5152976512908936	0.4512432217597961	0.4509087800979614	0.4091044366359711	0.5386991500854492	0.5773949027061462	0.514984130859375	0.4564221799373627	0.5454723238945007	0.469903439283371	0.5421839952468872	0.5704243183135986	0.4786102771759033	0.5778647661209106	0.4977717697620392	0.513705313205719	0.494016170501709	0.4530798494815826	0.4252547025680542	0.4945990443229675	0.4461694955825806	0.5021375417709351	0.4799655675888062	0.4986561238765717	0.5141557455062866	0.4988749623298645	0.4744559228420258	0.4989417791366577	0.6426472663879395	0.5308015942573547	0.5119368433952332	0.5718934535980225	0.4433154761791229	0.4772847592830658	0.4728902876377106	0.354315847158432	0.5044416189193726	0.4720067977905273	0.5467467904090881	0.4710587561130524	0.4895867705345154	0.4770817458629608	0.5513910055160522	0.4943775236606598	0.4990231990814209	0.4739010632038116	0.4493984282016754	0.50037682056427	0.4579364359378815	0.5699923038482666	0.5834827423095703	0.4572403728961945	0.4724298715591431	0.4835444092750549	0.4612218141555786	0.4008256196975708	0.5016068816184998	0.4451892971992493	0.4632009565830231	0.4894095957279205	0.4908805787563324	0.4745951294898987	0.4874553978443146	0.3404534459114075	0.4634163379669189	0.533203661441803	0.5929068922996521	0.569139301776886	0.501131534576416	0.4962924718856812	0.6111672520637512	0.4883695244789124	0.378869354724884	0.5746867656707764	0.5186600685119629	0.542003333568573	0.5207763910293579	0.3926834166049957
2177-004-M017-EMAX-SL-24-RV	0.4388708174228668	0.4772550463676453	0	0.4541868269443512	0.3957698941230774	0.4450893700122833	0.4209759831428528	0.3700522482395172	0.3998729884624481	0.4633815288543701	0.4753358960151672	0.632439136505127	0.4885346293449402	0.4803954362869263	0.4736254811286926	0.4124715030193329	0.5083547234535217	0.3850129842758179	0.3986987471580505	0.4189779162406921	0.4474881887435913	0.4160294532775879	0.3922227025032043	0.5077780485153198	0.4330384135246277	0.369109719991684	0.4672101736068726	0.3628221154212952	0.5179271697998047	0.5798057913780212	0.4321427345275879	0.4653177857398987	0.4877873361110687	0.4154499471187592	0.4265647828578949	0.3856899738311768	0.3732531368732452	0.4429146349430084	0.5569497346878052	0.4749885201454163	0.4212131798267365	0.4103109538555145	0.5279927849769592	0.6106761693954468	0.5166618227958679	0.456627756357193	0.41666379570961	0.4649065732955933	0.3951254785060883	0.5185088515281677	0.4815331995487213	0.4271444380283356	0.5148626565933228	0.4508631229400635	0.4745310544967651	0.44035804271698	0.4186180830001831	0.5445057153701782	0.4391734004020691	0.3963319361209869	0.4421177208423615	0.4171589016914368	0.5871313810348511	0.487427145242691	0.4478329718112946	0.3911247849464417	0.4305841028690338	0.6202878952026367	0.4850773811340332	0.4446812570095062	0.5348942279815674	0.3915487825870514	0.3917315006256104	0.4073114693164825	0.4661364257335663	0.462192177772522	0.4003634452819824	0.4679166078567505	0.4122850298881531	0.5298144817352295	0.4686875939369202	0.5649387240409851	0.422940582036972	0.4510269463062286	0.3801666796207428	0.4023439586162567	0.4221472144126892	0.3974805474281311	0.5431787371635437	0.4957541823387146	0.4087116420269012	0.3916312754154205	0.4058367311954498	0.4892934858798981	0.500749409198761	0.4787872433662415	0.3721602261066437	0.387778639793396	0.4192123711109161	0.4068853855133057	0.3862524032592773	0.4178577363491058	0.4445576071739197	0.4320481717586517	0.4768913090229034	0.5438896417617798	0.5078097581863403	0.4467984735965729	0.4121747612953186	0.5681098103523254	0.5941339135169983	0.4667770564556122	0.6091400980949402	0.4608981609344482	0.4806378781795502	0.471507728099823	0.5043825507164001
2177-005-M018-EMAX-SL-24-RV	0.5001178383827209	0.3218987286090851	0.4541868269443512	0	0.4530007839202881	0.5056216716766357	0.4754950702190399	0.4704774618148804	0.455302357673645	0.5184754133224487	0.3373616635799408	0.6491419672966003	0.3640317916870117	0.4759248495101929	0.5230172276496887	0.4771599173545837	0.5778485536575317	0.4383181929588318	0.473426342010498	0.4426566958427429	0.5038176774978638	0.481817215681076	0.4761615991592407	0.5118350386619568	0.3163654506206512	0.4421528875827789	0.3327447772026062	0.4418835937976837	0.4795207679271698	0.6107580065727234	0.4792069792747498	0.5117841362953186	0.5535728335380554	0.4492860734462738	0.4911832809448242	0.4442584812641144	0.4422403275966644	0.495694100856781	0.6084423065185547	0.4956319630146027	0.4543224275112152	0.4549905061721802	0.392527312040329	0.5216554403305054	0.544719934463501	0.4986045658588409	0.4614687561988831	0.5133326649665833	0.4516376256942749	0.5437719225883484	0.5493451952934265	0.4559740424156189	0.5806522369384766	0.4877364039421082	0.5174251794815063	0.4821278154850006	0.4353012442588806	0.416102796792984	0.5021846890449524	0.4298492074012756	0.4902122020721436	0.4623689353466034	0.4769801795482635	0.4986212253570557	0.4807100594043732	0.4389221370220184	0.4899575412273407	0.6433379054069519	0.5256759524345398	0.4966784715652466	0.5683388113975525	0.4360108077526093	0.468937486410141	0.4554899334907532	0.3253428339958191	0.4937887787818909	0.4590898156166077	0.5317229032516479	0.42758908867836	0.4813260734081268	0.4532458186149597	0.5374206304550171	0.4718956351280212	0.4877693355083466	0.4522506892681122	0.4510715305805206	0.4930669963359833	0.4420847594738007	0.5814831852912903	0.5669278502464294	0.4608917832374573	0.4560137987136841	0.460437685251236	0.4531256258487701	0.3867779970169067	0.4982070922851562	0.4363676309585571	0.4418800473213196	0.4763047397136688	0.4654832184314728	0.4453991055488586	0.4704955518245697	0.33904829621315	0.4798749387264252	0.507677435874939	0.566408097743988	0.5497303605079651	0.4979464113712311	0.4830732643604279	0.6058924198150635	0.4825654029846191	0.3451705873012543	0.5733377933502197	0.5016885995864868	0.5137672424316406	0.5012704133987427	0.3877215683460236
2177-006-M019-EMAX-SL-24-RV	0.3627147674560547	0.457861989736557	0.3957698941230774	0.4530007839202881	0	0.3857443034648895	0.4142028987407684	0.4087380468845367	0.4062370359897614	0.4831272065639496	0.4805426597595215	0.6299389004707336	0.504031240940094	0.4949614405632019	0.4909087419509888	0.4507963061332703	0.5535946488380432	0.404010534286499	0.3572455048561096	0.4072549641132355	0.457892507314682	0.4367921948432922	0.4138225317001343	0.5457555651664734	0.4526260495185852	0.3858504891395569	0.3928945958614349	0.3993763029575348	0.5093050003051758	0.5408362150192261	0.3336838185787201	0.4625576436519623	0.5065303444862366	0.404653400182724	0.3733963370323181	0.4033160209655762	0.3646649122238159	0.3508484363555908	0.5136509537696838	0.4557173550128937	0.4057574272155762	0.4037566184997559	0.5303735136985779	0.6432268023490906	0.4581699669361115	0.3844179511070251	0.4178132712841034	0.4136243164539337	0.407765805721283	0.5020201802253723	0.5096059441566467	0.4269255995750427	0.4672563374042511	0.3549472093582153	0.3975926637649536	0.3580673933029175	0.4101788699626923	0.4627590775489807	0.4291004240512848	0.4028351306915283	0.3741794228553772	0.4190837740898132	0.5356614589691162	0.4209058582782745	0.3542961180210114	0.4141713678836823	0.3763431906700134	0.6342669725418091	0.4802747368812561	0.3877818882465363	0.5303636193275452	0.3834609091281891	0.4057675302028656	0.4178664982318878	0.4550930559635162	0.3837941586971283	0.4160383641719818	0.4130364954471588	0.4273083508014679	0.5275749564170837	0.4347488880157471	0.5201050639152527	0.3584701716899872	0.3616510331630707	0.3929747045040131	0.4015513062477112	0.3623387515544891	0.4027597606182098	0.5475049018859863	0.5368711948394775	0.3902757167816162	0.405099481344223	0.4251303970813751	0.4904576539993286	0.4386037290096283	0.3987760841846466	0.3639836311340332	0.3831869959831238	0.3437415063381195	0.4245645999908447	0.4027362763881683	0.4259912371635437	0.4544703662395477	0.4130539894104004	0.4874446094036102	0.4839706122875214	0.5170530676841736	0.4483078718185425	0.3534948229789734	0.5238074660301208	0.5467245578765869	0.4777087569236755	0.5492032766342163	0.4112151265144348	0.4286777377128601	0.4010427892208099	0.4314422607421875
2177-008-M014-EMAX-SL-24-RV	0.4388999938964844	0.5031654238700867	0.4450893700122833	0.5056216716766357	0.3857443034648895	0	0.481380820274353	0.4534723460674286	0.4521156251430511	0.4834477603435516	0.5078632235527039	0.6235082149505615	0.4888209104537964	0.533022403717041	0.5303553342819214	0.4635546803474426	0.5272263288497925	0.4625322818756104	0.400748074054718	0.4529988467693329	0.4756461083889008	0.4806725382804871	0.4558156132698059	0.5372754335403442	0.4869925975799561	0.4353496134281158	0.4544618129730225	0.4244967401027679	0.5394567251205444	0.5423320531845093	0.4185503125190735	0.4973502159118652	0.5493713617324829	0.459000289440155	0.3998074531555176	0.4504407346248627	0.4432357251644135	0.3945594429969788	0.4681775569915771	0.5223152041435242	0.4683892726898193	0.4551937878131866	0.5698454976081848	0.6187655329704285	0.4803757965564728	0.3977752327919006	0.4716935455799103	0.4299386739730835	0.4435991048812866	0.5571383237838745	0.480378270149231	0.4785498976707458	0.4859716296195984	0.4440445601940155	0.4681724607944489	0.4426574409008026	0.4456379115581512	0.5250846147537231	0.4722594916820526	0.4447084963321686	0.4248977601528168	0.4682263731956482	0.5684557557106018	0.4673575162887573	0.3970661461353302	0.4647868275642395	0.4099051058292389	0.6310941576957703	0.5279837250709534	0.4286260306835175	0.5703418254852295	0.4501708149909973	0.4742209613323212	0.4806953966617584	0.5198302268981934	0.4207783639431	0.4712430238723755	0.4473690688610077	0.4511511623859406	0.5208563804626465	0.4746398031711578	0.5191438794136047	0.4106972217559814	0.4105147123336792	0.469230979681015	0.4542996883392334	0.3795530498027802	0.4491055011749268	0.5847181677818298	0.5543599724769592	0.4684351980686188	0.455551952123642	0.4805504679679871	0.5390956401824951	0.4875553250312805	0.4518008828163147	0.4574784636497498	0.4362137913703918	0.3746944665908813	0.4857948422431946	0.4370428025722504	0.4781141877174377	0.5057559609413147	0.4421962797641754	0.4993390142917633	0.4857761561870575	0.536901593208313	0.5216516852378845	0.3981304168701172	0.549247145652771	0.5311698913574219	0.5360321998596191	0.5930070877075195	0.4538393318653107	0.4477878212928772	0.4493502676486969	0.4635939300060272
2177-009-M015-EMAX-SL-24-RV	0.4438904821872711	0.4876064360141754	0.4209759831428528	0.4754950702190399	0.4142028987407684	0.481380820274353	0	0.4131005108356476	0.4130682647228241	0.4858167469501495	0.5108339190483093	0.6421710252761841	0.5151134729385376	0.5191843509674072	0.4994243383407593	0.4724361002445221	0.5736287236213684	0.4231871664524078	0.4611679315567017	0.4344829916954041	0.4778344333171844	0.457500547170639	0.4327919185161591	0.5737567543983459	0.4784513711929321	0.4006635844707489	0.4831583201885223	0.4371631741523743	0.5354277491569519	0.6120564341545105	0.443601667881012	0.4859746694564819	0.4874220192432404	0.4272726774215698	0.4817454516887665	0.4310881197452545	0.3999142646789551	0.4793791472911835	0.6081321835517883	0.478920966386795	0.41104856133461	0.4250847101211548	0.5297456979751587	0.6604004502296448	0.5056796669960022	0.4803974032402039	0.4482519626617432	0.5066208243370056	0.4333861172199249	0.5182114839553833	0.5454903841018677	0.4314904510974884	0.5566989779472351	0.4617103636264801	0.4849857687950134	0.4656387269496918	0.4288510382175446	0.5474840998649597	0.4536124765872955	0.4242659211158752	0.4597825706005096	0.4384089112281799	0.6072151660919189	0.4951932728290558	0.4642316102981567	0.4302246570587158	0.4682229459285736	0.6594414114952087	0.4776518940925598	0.4670622944831848	0.5504271388053894	0.4106873869895935	0.4258493185043335	0.4222159683704376	0.4820175170898438	0.4699834287166595	0.4415720403194427	0.5010333061218262	0.433009922504425	0.5510807633399963	0.5203635692596436	0.5925863981246948	0.4495900273323059	0.4654075503349304	0.4297929704189301	0.4376121163368225	0.4627099633216858	0.436347633600235	0.5556216835975647	0.5556236505508423	0.4230308830738068	0.4402663111686707	0.4323165714740753	0.4893462657928467	0.5021616220474243	0.5155059695243835	0.4213248193264008	0.4298774898052216	0.4650885164737701	0.4347771406173706	0.4376048743724823	0.4474376738071442	0.4962122738361359	0.4546857476234436	0.5168468952178955	0.573350727558136	0.5470238924026489	0.4469547271728516	0.4544800221920013	0.6032145619392395	0.6138814687728882	0.4916667640209198	0.6040796041488647	0.4913791418075562	0.5067525506019592	0.4780605435371399	0.5403633713722229
2177-010-M016-EMAX-SL-24-RV	0.4492717981338501	0.4605967998504639	0.3700522482395172	0.4704774618148804	0.4087380468845367	0.4534723460674286	0.4131005108356476	0	0.3982161581516266	0.4680851697921753	0.4889744818210602	0.6411052346229553	0.5077765583992004	0.4936883151531219	0.4942561984062195	0.4284037947654724	0.5191136002540588	0.3736201822757721	0.4335807263851166	0.3960129916667938	0.4710924625396729	0.4336493313312531	0.4128013849258423	0.5247210264205933	0.4440543353557587	0.3961180746555328	0.4809845387935638	0.378505676984787	0.5111640095710754	0.5887709259986877	0.4263085424900055	0.4489140510559082	0.481863260269165	0.4274647831916809	0.446153461933136	0.4011434018611908	0.3945692777633667	0.4429524838924408	0.5627411603927612	0.4791311025619507	0.3954517543315887	0.3994698524475098	0.5269432663917542	0.6280102133750916	0.5013390779495239	0.4698534309864044	0.4122057259082794	0.4817169606685638	0.4068644344806671	0.5093085169792175	0.4879927933216095	0.4136270582675934	0.5179954767227173	0.4613364636898041	0.4775433242321014	0.4455206990242004	0.4061698615550995	0.5505440235137939	0.4354444444179535	0.414525955915451	0.4462331533432007	0.416118860244751	0.5974458456039429	0.5116010904312134	0.4359636306762695	0.3843012750148773	0.4608655273914337	0.6284162402153015	0.4828448891639709	0.4555836021900177	0.550010621547699	0.4145335555076599	0.413777619600296	0.4079705476760864	0.478865772485733	0.4599188268184662	0.4104878008365631	0.4842638075351715	0.4047994911670685	0.5306404829025269	0.5057295560836792	0.583758533000946	0.4445053040981293	0.4373425543308258	0.3930217921733856	0.412055104970932	0.4427466094493866	0.4140327870845795	0.5445605516433716	0.5164023637771606	0.4108439683914185	0.4068233370780945	0.4475818574428558	0.5157224535942078	0.5286934971809387	0.4801333546638489	0.3913536369800568	0.3806945383548737	0.4271900951862335	0.4059121310710907	0.4102783203125	0.4312950372695923	0.4614107310771942	0.4152289628982544	0.4568624198436737	0.555690586566925	0.5293624401092529	0.4479756355285645	0.4198057651519775	0.5741831660270691	0.5839164257049561	0.4870565533638	0.5997758507728577	0.4684762358665466	0.4929470121860504	0.4647375643253326	0.5116533637046814
2177-011-M020-EMAX-SL-24-RV	0.4293358027935028	0.4654978513717651	0.3998729884624481	0.455302357673645	0.4062370359897614	0.4521156251430511	0.4130682647228241	0.3982161581516266	0	0.4811241924762726	0.4724518358707428	0.6204201579093933	0.5122779607772827	0.4844348728656769	0.4741018712520599	0.434861034154892	0.5237996578216553	0.3980425894260406	0.4228338897228241	0.4009930193424225	0.4718707799911499	0.4153943955898285	0.3914593756198883	0.532073438167572	0.4528104960918427	0.382813960313797	0.4755538403987885	0.3947519958019257	0.4742650985717773	0.5758733749389648	0.4410216808319092	0.4718423783779144	0.498626321554184	0.4131735861301422	0.4327663481235504	0.365321546792984	0.3631445467472076	0.4266051650047302	0.5690740346908569	0.4704477787017822	0.4105564653873444	0.3912992179393768	0.534145176410675	0.6348431706428528	0.5286492705345154	0.4372594654560089	0.4136942625045776	0.4737841188907623	0.4092372357845306	0.5071542859077454	0.4888205528259277	0.4145243763923645	0.5306901931762695	0.4615258872509003	0.480302095413208	0.4440118968486786	0.391110897064209	0.5389801263809204	0.413246214389801	0.4074454009532928	0.4599055349826813	0.4183796942234039	0.5928306579589844	0.4906821846961975	0.447964608669281	0.3951749503612518	0.4269889295101166	0.6379169821739197	0.4786844551563263	0.4443336427211761	0.5460809469223022	0.3976811468601227	0.4185019135475159	0.4149905443191528	0.4693077802658081	0.4634444415569305	0.4041771590709686	0.4710079729557037	0.4166633784770966	0.5186946988105774	0.4909918010234833	0.5702757239341736	0.4319179654121399	0.4415225386619568	0.3948845565319061	0.4081414639949799	0.4481470882892609	0.4182236194610596	0.5588698983192444	0.520853579044342	0.4034081995487213	0.3997032940387726	0.4178908467292786	0.4952658414840698	0.5026668310165405	0.4599709510803223	0.3900867104530334	0.3627316653728485	0.433133453130722	0.4111376404762268	0.4071526229381561	0.4097723662853241	0.4493647813796997	0.4036689400672913	0.4850667417049408	0.5412049889564514	0.523004949092865	0.4465240836143494	0.4310669898986816	0.5706673860549927	0.5916893482208252	0.4820300340652466	0.6031625270843506	0.465363472700119	0.4888869524002075	0.4539444148540497	0.5183168053627014
2177-012-M021-EMAX-SL-24-RV	0.5091797113418579	0.5270114541053772	0.4633815288543701	0.5184754133224487	0.4831272065639496	0.4834477603435516	0.4858167469501495	0.4680851697921753	0.4811241924762726	0	0.5309557914733887	0.6729363799095154	0.4790582656860352	0.5665193796157837	0.55624920129776	0.4863242506980896	0.5612416863441467	0.4725634753704071	0.4913226664066315	0.4849813282489777	0.4104205667972565	0.4984346628189087	0.4966795444488525	0.5860311388969421	0.5114035606384277	0.4600460827350616	0.5457954406738281	0.4615130424499512	0.5798043012619019	0.6327746510505676	0.5032305717468262	0.5017530918121338	0.5379058122634888	0.4914063811302185	0.4975877404212952	0.4812602400779724	0.4610795974731445	0.5028938055038452	0.5915102362632751	0.5304072499275208	0.4617865383625031	0.4749963879585266	0.5822025537490845	0.6521608233451843	0.5303323864936829	0.5153684020042419	0.4871772527694702	0.542340099811554	0.4665392935276031	0.5730636119842529	0.5475203394889832	0.4915756583213806	0.566000759601593	0.5188851356506348	0.534817099571228	0.5065320730209351	0.4744550883769989	0.5899636745452881	0.5043709278106689	0.461843878030777	0.5045819878578186	0.4619365036487579	0.6316796541213989	0.5403239727020264	0.4585144817829132	0.4697854518890381	0.5187854766845703	0.6703019142150879	0.5314150452613831	0.5123234391212463	0.5869925618171692	0.4859477877616882	0.491150289773941	0.4815927445888519	0.534116268157959	0.4907318353652954	0.4827182590961456	0.5375066995620728	0.4505577981472015	0.5576366186141968	0.5636733770370483	0.6203600168228149	0.5100829005241394	0.4950427114963531	0.4771756529808044	0.4712764620780945	0.4885658919811249	0.4700691103935242	0.6051903963088989	0.547570526599884	0.4886621832847595	0.4842338263988495	0.5041037797927856	0.5492656230926514	0.5569624304771423	0.5560342073440552	0.4655492603778839	0.4664794504642487	0.4945363104343414	0.4754930436611176	0.4652482569217682	0.5091969966888428	0.5305505990982056	0.4698908925056458	0.5047300457954407	0.5886111259460449	0.5666605830192566	0.5385085940361023	0.5062874555587769	0.6238686442375183	0.6012560129165649	0.5492181181907654	0.6534259915351868	0.5381783843040466	0.5075672268867493	0.5403032898902893	0.5469632744789124
