	2177-002-M012-EMAX-SL-24-RV	2177-003-M013-EMAX-SL-24-RV	2177-004-M017-EMAX-SL-24-RV	2177-005-M018-EMAX-SL-24-RV	2177-006-M019-EMAX-SL-24-RV	2177-008-M014-EMAX-SL-24-RV	2177-009-M015-EMAX-SL-24-RV	2177-010-M016-EMAX-SL-24-RV	2177-011-M020-EMAX-SL-24-RV	2177-012-M021-EMAX-SL-24-RV	2177-014-M022-EMAX-SL-24-RV	2177-015-M023-EMAX-SL-24-RV	2177-016-M024-EMAX-SL-24-RV	2177-017-M025-EMAX-SL-24-RV	2177-018-M026-EMAX-SL-24-RV	2177-019-M028-EMAX-SL-24-RV	2177-021-M030-EMAX-SL-24-RV	2177-023-M031-EMAX-SL-24-RV	2177-024-M032-EMAX-SL-24-RV	2177-025-M033-EMAX-SL-24-RV	2177-026-M034-EMAX-SL-24-RV	2177-027-M035-EMAX-SL-24-RV	2177-028-M036-EMAX-SL-24-RV	2177-029-M037-EMAX-SL-24-RV	2177-030-M038-EMAX-SL-24-RV	2177-033-M039-EMAX-SL-24-RV	2177-034-M040-EMAX-SL-24-RV	2177-035-M041-EMAX-SL-24-RV	2177-036-M042-EMAX-SL-24-RV	2177-037-M043-EMAX-SL-24-RV	2177-038-M044-EMAX-SL-24-RV	2177-040-M045-EMAX-SL-24-RV	2177-041-M046-EMAX-SL-24-RV	2177-042-M047-EMAX-SL-24-RV	2177-043-M048-EMAX-SL-24-RV	2177-044-M049-EMAX-SL-24-RV	2177-045-M050-EMAX-SL-24-RV	2177-046-M051-EMAX-SL-24-RV	2177-047-M052-EMAX-SL-24-RV	2177-049-M053-EMAX-SL-24-RV	2177-050-K001-EMAX-SL-24-RV	2177-051-K002-EMAX-SL-24-RV	2177-052-K003-EMAX-SL-24-RV	2177-053-K004-EMAX-SL-24-RV	2177-054-K005-EMAX-SL-24-RV	2177-055-M054-EMAX-SL-24-RV	2177-056-M055-EMAX-SL-24-RV	2177-058-M056-EMAX-SL-24-RV	2177-059-K006-EMAX-SL-24-RV	2177-060-M057-EMAX-SL-24-RV	2177-061-M058-EMAX-SL-24-RV	2177-062-M059-EMAX-SL-24-RV	2177-065-K007-EMAX-SL-24-RV	2177-066-M060-EMAX-SL-24-RV	2177-067-M061-EMAX-SL-24-RV	2177-068-M062-EMAX-SL-24-RV	2177-069-M063-EMAX-SL-24-RV	2177-070-K008-EMAX-SL-24-RV	2177-071-K009-EMAX-SL-24-RV	2177-072-K010-EMAX-SL-24-RV	2177-074-M064-EMAX-SL-24-RV	2177-075-K011-EMAX-SL-24-RV	2177-076-M065-EMAX-SL-24-RV	2177-077-M066-EMAX-SL-24-RV	2177-078-M067-EMAX-SL-24-RV	2177-079-M068-EMAX-SL-24-RV	2177-080-M069-EMAX-SL-24-RV	2177-081-M070-EMAX-SL-24-RV	2177-083-K012-EMAX-SL-24-RV	2177-084-M071-EMAX-SL-24-RV	2177-085-K013-EMAX-SL-24-RV	2177-086-M072-EMAX-SL-24-RV	2177-087-M073-EMAX-SL-24-RV	2177-088-M074-EMAX-SL-24-RV	2177-089-M075-EMAX-SL-24-RV	2177-090-M076-EMAX-SL-24-RV	2177-092-M077-EMAX-SL-24-RV	2177-093-M078-EMAX-SL-24-RV	2177-094-M079-EMAX-SL-24-RV	2177-095-M080-EMAX-SL-24-RV	2177-097-M081-EMAX-SL-24-RV	2177-098-M082-EMAX-SL-24-RV	2177-099-M083-EMAX-SL-24-RV	2177-100-K019-EMAX-SL-24-RV	2177-102-M084-EMAX-SL-24-RV	2177-103-M085-EMAX-SL-24-RV	2177-104-M086-EMAX-SL-24-RV	2177-105-M087-EMAX-SL-24-RV	2177-106-M088-EMAX-SL-24-RV	2177-107-M089-EMAX-SL-24-RV	2177-109-M090-EMAX-SL-24-RV	2177-110-M091-EMAX-SL-24-RV	2177-111-M092-EMAX-SL-24-RV	2177-112-M093-EMAX-SL-24-RV	2177-113-M094-EMAX-SL-24-RV	2177-114-K020-EMAX-SL-24-RV	2177-115-K021-EMAX-SL-24-RV	2177-116-K023-EMAX-SL-24-RV	2177-118-K024-EMAX-SL-24-RV	2177-119-K025-EMAX-SL-24-RV	2177-120-K026-EMAX-SL-24-RV	2177-121-K027-EMAX-SL-24-RV	2177-122-K028-EMAX-SL-24-RV	2177-123-K029-EMAX-SL-24-RV	2177-125-K030-EMAX-SL-24-RV	2177-126-K032-EMAX-SL-24-RV	2177-127-K032-EMAX-SL-24-RV	2177-129-M095-EMAX-SL-24-RV	2177-130-M096-EMAX-SL-24-RV	2177-131-M097-EMAX-SL-24-RV	2177-132-M098-EMAX-SL-24-RV	2177-133-M099-EMAX-SL-24-RV	2177-135-M100-EMAX-SL-24-RV	2177-136-M101-EMAX-SL-24-RV	2177-137-M102-EMAX-SL-24-RV	2177-138-M103-EMAX-SL-24-RV	2177-139-M022-2-EMAX-SL-24-RV
2177-002-M012-EMAX-SL-24-RV	0	0.2160232812166214	0.2291595786809921	0.2012048810720444	0.1741809099912643	0.227048322558403	0.1427103132009506	0.2396978586912155	0.2038639038801193	0.2926020324230194	0.2767949402332306	0.3698541224002838	0.242206871509552	0.2840893864631653	0.2785598933696747	0.3344665467739105	0.3916844129562378	0.2516124844551086	0.1648337841033936	0.2577255368232727	0.2179399728775024	0.2093012630939484	0.2113238424062729	0.214258000254631	0.1755267828702927	0.2836326956748962	0.2354269921779633	0.2039626240730286	0.3198930025100708	0.2988829910755157	0.1836428195238113	0.2899636328220367	0.3745662868022919	0.2243839949369431	0.3036501407623291	0.2075959593057632	0.1926931440830231	0.2934282124042511	0.3852845430374146	0.2272947132587433	0.19049172103405	0.1908607184886932	0.2787948846817017	0.4423783719539642	0.31161168217659	0.2675293684005737	0.2309016585350037	0.3532590866088867	0.2158019989728928	0.2003643661737442	0.3753314614295959	0.2065391689538956	0.2688754200935364	0.2706779837608337	0.245337039232254	0.2824237942695618	0.2288193255662918	0.280655562877655	0.1741447001695633	0.238125666975975	0.2942978143692017	0.2152781635522842	0.2817779183387756	0.2300311028957367	0.2943580448627472	0.2595566213130951	0.2186321169137955	0.4122819602489471	0.2823708355426788	0.2864326536655426	0.2077144086360931	0.2666045129299164	0.2638296484947205	0.2338519096374512	0.254755824804306	0.2948440909385681	0.226252481341362	0.2305928915739059	0.2617747783660889	0.2760463654994965	0.2127784490585327	0.3334750533103943	0.2779246270656586	0.2483439743518829	0.2098217010498047	0.2501904368400574	0.3152262568473816	0.2533044815063477	0.2679453790187836	0.3294019997119904	0.2561054229736328	0.2853513658046722	0.2541275322437286	0.2609412968158722	0.2926168143749237	0.217764675617218	0.239451602101326	0.2090412527322769	0.2507400214672089	0.3230965733528137	0.249289870262146	0.3038676083087921	0.1844219714403152	0.1820537894964218	0.3570728600025177	0.3419793844223022	0.2274406552314758	0.2677716016769409	0.314959704875946	0.3971604108810425	0.3382543325424194	0.2243695259094238	0.2940919101238251	0.2569596767425537	0.3492014408111572	0.2724532186985016	0.2804160118103027
2177-003-M013-EMAX-SL-24-RV	0.2160232812166214	0	0.1874432116746902	0.1497322469949722	0.1634518653154373	0.2022269815206528	0.2042490541934967	0.2585822641849518	0.2093491703271866	0.2992469668388367	0.2524285614490509	0.3221170604228973	0.2312428504228592	0.2120508998632431	0.2156582772731781	0.3204827308654785	0.3322053253650665	0.2068969905376434	0.1812626868486404	0.197109580039978	0.2010306566953659	0.1843247264623642	0.2304821759462357	0.2469186633825302	0.21146060526371	0.2705820500850677	0.1733637154102325	0.209513396024704	0.3119204938411713	0.228887751698494	0.2484540790319443	0.2778960168361664	0.3927936851978302	0.1752067655324936	0.3053021728992462	0.210732102394104	0.2419674396514893	0.2168594002723694	0.3480510413646698	0.1922836303710938	0.228812649846077	0.2306276708841324	0.2656216323375702	0.3759508728981018	0.3364211916923523	0.1773079931735992	0.1734648048877716	0.338701456785202	0.2195701152086258	0.23127381503582	0.3212828934192657	0.1696872562170029	0.328871876001358	0.2351713627576828	0.3087750673294067	0.2463434934616089	0.1808624416589737	0.2437292635440826	0.2241633087396622	0.1943358331918716	0.2521820366382599	0.2480968087911606	0.2350458204746246	0.1968139708042145	0.2999250590801239	0.2080491483211517	0.2043896317481995	0.374665766954422	0.3242783844470978	0.2125393152236938	0.1521352529525757	0.1706455647945404	0.2596140801906586	0.2199772149324417	0.2048311978578568	0.2499266117811203	0.2070737332105637	0.2107676267623901	0.2358304560184479	0.2139143049716949	0.2104272097349167	0.266998678445816	0.2573384046554565	0.2520726025104523	0.2295891046524048	0.1673471182584763	0.2461745738983154	0.2441253662109375	0.1854657381772995	0.3145553469657898	0.1866485923528671	0.2950045168399811	0.2322268486022949	0.1781081855297089	0.3023612797260284	0.2578219175338745	0.1847677379846573	0.2454007714986801	0.2332394421100616	0.3326322436332703	0.2059236466884613	0.2539223432540894	0.1866496354341507	0.2497786432504654	0.3189997375011444	0.2944650053977966	0.2113677859306335	0.3310456275939941	0.2358270883560181	0.348310798406601	0.2879198789596558	0.2152471989393234	0.2772390842437744	0.2384867072105408	0.3317673206329346	0.243871882557869	0.2957780957221985
2177-004-M017-EMAX-SL-24-RV	0.2291595786809921	0.1874432116746902	0	0.1546876281499863	0.2052645087242126	0.2453843057155609	0.1992646902799606	0.2237541526556015	0.2437542676925659	0.3285905718803406	0.2578237056732178	0.3744471073150635	0.280927836894989	0.181496188044548	0.170586422085762	0.2704651653766632	0.3799167275428772	0.1749836057424545	0.1718813627958298	0.1902670413255692	0.2284905463457108	0.2104098498821259	0.2633925974369049	0.226381704211235	0.2328811883926392	0.2561125159263611	0.1906400769948959	0.2194748520851135	0.3375913202762604	0.293863981962204	0.2185113131999969	0.2958850264549255	0.3674334585666656	0.157921090722084	0.30744469165802	0.2060808539390564	0.247300386428833	0.215610682964325	0.3844192028045654	0.2139783799648285	0.2332037538290024	0.2636111080646515	0.2738930284976959	0.4181466102600098	0.3085059225559235	0.2030185759067535	0.192641094326973	0.381175309419632	0.2448721826076508	0.2171948403120041	0.3823570013046265	0.1948848962783813	0.3037613034248352	0.2181732803583145	0.2815355062484741	0.2489374876022339	0.2125072628259659	0.2373320907354355	0.2526573836803436	0.2204926311969757	0.2587868869304657	0.2610410451889038	0.2314195036888123	0.1862833052873611	0.2760168015956879	0.2088432013988495	0.191334143280983	0.4096308946609497	0.3167883455753326	0.2448896914720535	0.1825405955314636	0.1868467926979065	0.2015935331583023	0.2177221179008484	0.1975487470626831	0.2495799362659454	0.2087549120187759	0.2205244302749634	0.2272857129573822	0.2054083794355392	0.184813916683197	0.3015530407428741	0.2484603077173233	0.2371098250150681	0.2288065999746323	0.1793314516544342	0.2408684343099594	0.2331832647323608	0.172823965549469	0.3096151649951935	0.2099969089031219	0.2747367918491364	0.2217477411031723	0.1907802075147629	0.3016056716442108	0.2646372020244598	0.2282463610172272	0.2415856122970581	0.2414462864398956	0.3199682533740997	0.2681933641433716	0.2422241121530533	0.194753035902977	0.2629351615905762	0.3368272483348846	0.3354083299636841	0.2320463806390762	0.3303309381008148	0.2146516889333725	0.4020482897758484	0.3424250185489655	0.1870106756687164	0.2224024385213852	0.2363417744636536	0.3618189096450806	0.2010754495859146	0.3289351165294647
2177-005-M018-EMAX-SL-24-RV	0.2012048810720444	0.1497322469949722	0.1546876281499863	0	0.1213869154453278	0.2371435761451721	0.1750746071338654	0.2744579613208771	0.1932125240564346	0.3252962231636047	0.2574207186698914	0.3443271219730377	0.2675527334213257	0.2053960561752319	0.2016347646713257	0.2546301484107971	0.3688852190971375	0.2131199389696121	0.202518954873085	0.1983682066202164	0.2113467007875443	0.127616286277771	0.2116482704877853	0.2564781010150909	0.1986343860626221	0.2374179363250732	0.1911868900060654	0.2359615117311478	0.2818426489830017	0.2657905220985413	0.2389336675405502	0.3064740598201752	0.4294562935829163	0.1664484590291977	0.3334961831569672	0.1566410213708878	0.2003202885389328	0.1957745552062988	0.3686805069446564	0.1982090175151825	0.1917752325534821	0.2307968586683273	0.2855949699878693	0.4018506407737732	0.3534143269062042	0.1900355964899063	0.1450081765651703	0.3256274163722992	0.1814410984516144	0.2085987478494644	0.3585519790649414	0.1845411360263824	0.3285454213619232	0.247393399477005	0.33360356092453	0.2762130498886108	0.1977550238370895	0.2561468183994293	0.2518271505832672	0.2063134610652924	0.2802751064300537	0.265916109085083	0.2350602596998215	0.2025033980607986	0.2884550094604492	0.2130057513713837	0.1890877038240433	0.4071362912654877	0.3653485178947449	0.2313358038663864	0.1555053442716599	0.1823661923408508	0.2134856134653091	0.2243691831827164	0.2064838409423828	0.261129230260849	0.2320572435855865	0.212519496679306	0.2469248473644257	0.2185343503952026	0.1929413974285126	0.3030332922935486	0.2891972362995148	0.2408995926380157	0.2112156748771667	0.1569734811782837	0.2749316692352295	0.2236139923334122	0.1866969019174576	0.3478493392467499	0.1942790448665619	0.2970169186592102	0.2546147108078003	0.2007600069046021	0.3297056555747986	0.2305609136819839	0.198507234454155	0.2148051410913467	0.2471588253974915	0.35441854596138	0.2397178709506989	0.214380756020546	0.2095189839601517	0.2467000931501389	0.3518710732460022	0.320196121931076	0.2251091301441193	0.2932319641113281	0.2268283069133759	0.3900432288646698	0.319506049156189	0.1991824507713318	0.2575334012508392	0.2683454751968384	0.3428066372871399	0.2244442999362946	0.3039805889129639
2177-006-M019-EMAX-SL-24-RV	0.1741809099912643	0.1634518653154373	0.2052645087242126	0.1213869154453278	0	0.2393122017383575	0.1525370180606842	0.2649200558662415	0.1370653212070465	0.3053409457206726	0.2643542587757111	0.3320147097110748	0.2562870383262634	0.2347123324871063	0.2574817538261414	0.2912524044513702	0.3580384850502014	0.2428169846534729	0.1931427121162415	0.2235942780971527	0.197852149605751	0.1308695822954178	0.1593081951141357	0.2330068051815033	0.1737880259752274	0.2530340254306793	0.1933743059635162	0.2025152146816254	0.2489197701215744	0.2480939328670502	0.2171140015125275	0.2838338613510132	0.4172542691230774	0.1982051134109497	0.3331688940525055	0.1442943513393402	0.1765879243612289	0.230422630906105	0.3663593530654907	0.1791868060827255	0.1611881256103516	0.1963182240724564	0.2738619744777679	0.3904775083065033	0.3453112244606018	0.2310164570808411	0.1558793485164642	0.2991262078285217	0.1529624909162521	0.1759869307279587	0.3544193208217621	0.1762769222259521	0.3117538392543793	0.2628677487373352	0.3173700869083405	0.2971152663230896	0.1830271035432816	0.2500939667224884	0.2132534086704254	0.195273756980896	0.2594188451766968	0.2422614097595215	0.2422748953104019	0.2121347486972809	0.2860831916332245	0.2395041584968567	0.194738581776619	0.3963054716587067	0.3412223756313324	0.2361792474985123	0.170145645737648	0.2127496600151062	0.224249079823494	0.2117449045181274	0.2031395733356476	0.2549301981925964	0.2184311896562576	0.1950461864471436	0.2345615327358246	0.237416073679924	0.199004054069519	0.282637745141983	0.273923397064209	0.2243742048740387	0.1816485226154327	0.1772022992372513	0.2894793152809143	0.206516832113266	0.2258628010749817	0.3225331604480743	0.1847618222236633	0.2874506413936615	0.2422322481870651	0.2260032445192337	0.3226879239082336	0.1918999999761581	0.2058985233306885	0.1933736950159073	0.2387727648019791	0.3514271080493927	0.2338781505823135	0.2374872714281082	0.1793355196714401	0.2179888784885406	0.3550577461719513	0.3101072907447815	0.2084316909313202	0.2516906261444092	0.264667421579361	0.3753735423088074	0.313209056854248	0.2003703564405441	0.2906509041786194	0.2704108357429504	0.3369502425193787	0.2616121470928192	0.2965056002140045
2177-008-M014-EMAX-SL-24-RV	0.227048322558403	0.2022269815206528	0.2453843057155609	0.2371435761451721	0.2393122017383575	0	0.2251332104206085	0.233566477894783	0.2824369072914124	0.2292302846908569	0.2415448874235153	0.3213870227336884	0.1623598486185074	0.2855932712554932	0.252554327249527	0.3837404847145081	0.3107631802558899	0.2645728886127472	0.2124264389276505	0.2488271743059158	0.2014210373163223	0.2509547770023346	0.3060029745101929	0.2388403117656708	0.2558892369270325	0.354378879070282	0.2301563918590546	0.2512784004211426	0.391610860824585	0.2585417628288269	0.262921541929245	0.2642886638641357	0.3582477569580078	0.2225438207387924	0.300630509853363	0.2676514387130737	0.3004703223705292	0.2754770517349243	0.3239507973194122	0.2560723125934601	0.2787158787250519	0.2591254413127899	0.2447399795055389	0.3480057418346405	0.3156194984912872	0.2477232217788696	0.2752358019351959	0.391499936580658	0.2833035290241241	0.2913877069950104	0.3204737603664398	0.2255100756883621	0.3234393894672394	0.2458603829145432	0.2618850767612457	0.2936670482158661	0.2479598075151443	0.2572273313999176	0.2146795094013214	0.2185827940702438	0.2710949182510376	0.2351433783769608	0.246329203248024	0.1973278224468231	0.3139466941356659	0.2564399838447571	0.2621684670448303	0.3388357162475586	0.2908117473125458	0.2785489559173584	0.2292773723602295	0.2670644819736481	0.3299272656440735	0.2549158930778503	0.2641863226890564	0.2833571434020996	0.2418857961893082	0.2298877537250519	0.2774606645107269	0.2097817957401276	0.2387270778417587	0.2870684564113617	0.295483410358429	0.3062894344329834	0.2845355272293091	0.2603532373905182	0.2429353594779968	0.3110013902187347	0.2317719161510468	0.3245924413204193	0.292395144701004	0.2981312870979309	0.236884668469429	0.2342678606510162	0.2920729517936707	0.3121755123138428	0.2506226897239685	0.2769512236118317	0.2307867407798767	0.3229173719882965	0.2453923374414444	0.3331344425678253	0.2410116791725159	0.2338007241487503	0.3090172111988068	0.2931965589523315	0.212848424911499	0.3940438032150269	0.2585612833499908	0.3565391302108765	0.2585695087909698	0.2489226460456848	0.3436184823513031	0.2174187004566193	0.3346104025840759	0.3100171089172363	0.300125926733017
2177-009-M015-EMAX-SL-24-RV	0.1427103132009506	0.2042490541934967	0.1992646902799606	0.1750746071338654	0.1525370180606842	0.2251332104206085	0	0.2118453532457352	0.1760231107473373	0.2760438024997711	0.2557133734226227	0.3653510510921478	0.2331945449113846	0.256474107503891	0.2650865018367767	0.3297339677810669	0.3795286118984222	0.2338108718395233	0.168518990278244	0.2472565621137619	0.1874274760484695	0.2031694352626801	0.1849832385778427	0.1991773396730423	0.1529925167560577	0.2768801152706146	0.2179076075553894	0.1729604601860046	0.3006796538829803	0.2834328413009644	0.172152504324913	0.2597391903400421	0.3381707966327667	0.2064131200313568	0.3076676726341248	0.1816767305135727	0.1816089749336243	0.2742942869663239	0.3866284489631653	0.1953456550836563	0.1394759267568588	0.1583496183156967	0.2350708097219467	0.4301147162914276	0.2782554030418396	0.2550955712795258	0.2082106173038483	0.3304388523101807	0.1894678920507431	0.1914396435022354	0.3768844604492188	0.1959417313337326	0.263837456703186	0.255429595708847	0.2503688931465149	0.2903032600879669	0.2239219397306442	0.2506827712059021	0.1764853000640869	0.1983045190572739	0.2715067267417908	0.189888134598732	0.2803288400173187	0.2108404040336609	0.2718083262443542	0.2456990480422974	0.2241811156272888	0.4073100388050079	0.2781462371349335	0.2661383748054504	0.1879266351461411	0.2555430233478546	0.2421081811189651	0.2173863351345062	0.2454394847154617	0.2732119858264923	0.1999969184398651	0.2281707376241684	0.2381812483072281	0.2463266402482986	0.1886025667190552	0.3026228249073029	0.2431094497442245	0.2298471182584763	0.1711238324642181	0.2355411201715469	0.2936212420463562	0.2136306464672089	0.2523443102836609	0.3221930861473083	0.2567445933818817	0.2649236619472504	0.2473935931921005	0.2405218333005905	0.2817477881908417	0.1895376592874527	0.2176307886838913	0.1719948947429657	0.2327732890844345	0.3036254942417145	0.2546353042125702	0.2837389707565308	0.1669344156980515	0.1687410920858383	0.3551731109619141	0.3218160569667816	0.191549077630043	0.2835601568222046	0.2946816682815552	0.3960681557655334	0.3178534209728241	0.2075442373752594	0.2880386114120483	0.2351424545049667	0.3446018397808075	0.2800969481468201	0.2707926034927368
2177-010-M016-EMAX-SL-24-RV	0.2396978586912155	0.2585822641849518	0.2237541526556015	0.2744579613208771	0.2649200558662415	0.233566477894783	0.2118453532457352	0	0.2696149051189423	0.2928130030632019	0.2442709058523178	0.3903803825378418	0.2302419990301132	0.3028303384780884	0.2382947653532028	0.3914337158203125	0.3538805544376373	0.2324119061231613	0.1985728442668915	0.2518598437309265	0.249665379524231	0.3060693144798279	0.2796388566493988	0.2459228932857513	0.2381302714347839	0.3520785868167877	0.2207974493503571	0.1985939890146255	0.4127542972564697	0.2927920818328857	0.2366553395986557	0.2295615077018738	0.2925739884376526	0.2389789819717407	0.2809212803840637	0.2684751749038696	0.2567809820175171	0.2875176966190338	0.3608953654766083	0.2272725999355316	0.247165322303772	0.2315084189176559	0.1889601796865463	0.4212357997894287	0.2487420439720154	0.277174711227417	0.2822520732879639	0.4063813984394073	0.2900821268558502	0.2538232803344727	0.3607155382633209	0.2212541550397873	0.2948720157146454	0.1900950372219086	0.1877758502960205	0.2707887589931488	0.2426114231348038	0.2025274336338043	0.2304394841194153	0.2109027355909348	0.2473603785037994	0.2266270965337753	0.2350040227174759	0.1958881914615631	0.2560172379016876	0.2566717863082886	0.2538613080978394	0.3817440569400787	0.2395105212926865	0.2859840393066406	0.2377016991376877	0.2878090739250183	0.2842516005039215	0.2155491411685944	0.2369077503681183	0.2498706877231598	0.1810222417116165	0.2358860820531845	0.242260679602623	0.2224169820547104	0.2224704027175903	0.2777815163135529	0.2006921172142029	0.225790724158287	0.2354182600975037	0.2716295123100281	0.2313414216041565	0.2418899089097977	0.22386334836483	0.2553637623786926	0.2955033779144287	0.2682434022426605	0.1990206688642502	0.2436843812465668	0.2484662532806396	0.2846648097038269	0.2553592324256897	0.2585090100765228	0.2166108340024948	0.2387268096208572	0.2743653953075409	0.3455129563808441	0.2095432728528976	0.24449422955513	0.2990660965442657	0.3175081610679626	0.1986300349235535	0.3440747261047363	0.2740013301372528	0.3880127668380737	0.3108384907245636	0.2215398848056793	0.2853733599185944	0.2100755721330643	0.3434030413627625	0.2855714857578278	0.2978179752826691
2177-011-M020-EMAX-SL-24-RV	0.2038639038801193	0.2093491703271866	0.2437542676925659	0.1932125240564346	0.1370653212070465	0.2824369072914124	0.1760231107473373	0.2696149051189423	0	0.326093316078186	0.3061476647853851	0.3844681978225708	0.2800392508506775	0.2636705040931702	0.2906982600688934	0.3303936123847961	0.3770194053649902	0.230298325419426	0.2188080251216888	0.2511274218559265	0.2302367240190506	0.2040034979581833	0.1738387942314148	0.258154034614563	0.2022451311349869	0.250977635383606	0.2124023586511612	0.2202426046133041	0.2450840920209885	0.3083441257476807	0.2333449721336365	0.2775110602378845	0.4089637100696564	0.2335959374904633	0.360616147518158	0.1764549314975739	0.1817644685506821	0.2720651626586914	0.3839674293994904	0.2136415988206863	0.164794847369194	0.2176765352487564	0.3018593788146973	0.4231784641742706	0.3606122732162476	0.2851957678794861	0.1948302984237671	0.3048058748245239	0.1858441084623337	0.1936893910169601	0.37994584441185	0.1894763708114624	0.3353137075901031	0.3028963804244995	0.3168388903141022	0.3159619271755219	0.2090699821710587	0.2836567163467407	0.2226225882768631	0.2367348968982697	0.2466471791267395	0.2526208460330963	0.3031412363052368	0.2598317563533783	0.2861065268516541	0.2687675058841705	0.2075898796319962	0.4110963642597198	0.3308757841587067	0.2259738445281982	0.1850136369466782	0.2528452277183533	0.2044353187084198	0.2276679277420044	0.2218680679798126	0.2716803550720215	0.2338302731513977	0.2184150516986847	0.2701718211174011	0.2768661081790924	0.2347950786352158	0.294515073299408	0.2718048095703125	0.2305364012718201	0.1853567957878113	0.2241649925708771	0.3250259757041931	0.2096091508865356	0.2426797300577164	0.3260953426361084	0.2317337393760681	0.3171073198318481	0.2668835818767548	0.2542957961559296	0.34267458319664	0.1640183329582214	0.2364162653684616	0.2205922156572342	0.2715344429016113	0.3719089925289154	0.2810820043087006	0.2470711767673492	0.2011040300130844	0.2443352788686752	0.3888976871967316	0.3356954157352448	0.2444912791252136	0.2332726269960403	0.2974807620048523	0.3984239101409912	0.3284956216812134	0.215023085474968	0.3054704666137695	0.2673320770263672	0.3620087206363678	0.2624329626560211	0.3358352184295654
2177-012-M021-EMAX-SL-24-RV	0.2926020324230194	0.2992469668388367	0.3285905718803406	0.3252962231636047	0.3053409457206726	0.2292302846908569	0.2760438024997711	0.2928130030632019	0.326093316078186	0	0.2847813367843628	0.3585744202136993	0.2186859548091888	0.3637837171554565	0.3460647463798523	0.448091596364975	0.3353000581264496	0.3449428677558899	0.3049081861972809	0.2954409718513489	0.2014692574739456	0.3459796607494354	0.3667666912078857	0.2520153820514679	0.3204400539398193	0.40975621342659	0.283446878194809	0.3075466454029083	0.4714392423629761	0.3054474890232086	0.3192451596260071	0.311610221862793	0.3629071116447449	0.3130275309085846	0.376027911901474	0.3449618220329285	0.3406592011451721	0.3385428190231323	0.3876972496509552	0.2925041317939758	0.2948022484779358	0.2988177239894867	0.2865037620067596	0.3774036169052124	0.3439684808254242	0.3424592614173889	0.3478430211544037	0.4219918847084045	0.3589950203895569	0.340832382440567	0.3747871220111847	0.2653285264968872	0.382997989654541	0.329925924539566	0.284077376127243	0.3635254800319672	0.301763653755188	0.2899865508079529	0.2760767042636871	0.2537113726139069	0.32313072681427	0.2438315898180008	0.3254925012588501	0.2975033521652222	0.3180611133575439	0.346089094877243	0.3216827809810638	0.3717849850654602	0.3295854032039642	0.3376743495464325	0.2923005521297455	0.3519588112831116	0.3927627205848694	0.2728752493858337	0.3165962696075439	0.2943978309631348	0.2953324019908905	0.3067176043987274	0.3427616059780121	0.3157648742198944	0.3209973871707916	0.3299168050289154	0.3499871790409088	0.3285830020904541	0.3327763378620148	0.3486570119857788	0.3062177002429962	0.3394493460655212	0.3158640265464783	0.3021969795227051	0.3771414756774902	0.3330373167991638	0.3109859228134155	0.3011243045330048	0.3409603834152222	0.361538827419281	0.3434389531612396	0.3420736491680145	0.2885479927062988	0.3683674037456512	0.2853620648384094	0.4116065800189972	0.3199436962604523	0.2980540692806244	0.3232484459877014	0.3310583829879761	0.2656116485595703	0.4021486639976501	0.3547526895999908	0.3807504773139954	0.2888971269130707	0.3228062093257904	0.4125995934009552	0.2784096002578735	0.3206783831119537	0.3617512583732605	0.3718258142471313
